№,Название,Автор,Фото
1,Нарекай,"Xcho, TIMMATE, Пабло",//avatars.yandex.net/get-music-content/5966316/c0b14f63.a.23134378-1/50x50
2,ЗА ДЕНЬГИ ДА,INSTASAMKA,//avatars.yandex.net/get-music-content/5502420/686d2bf8.a.24375438-1/50x50
3,Доча,Jah Khalib,//avatars.yandex.net/get-music-content/5853241/fb9f2e50.a.24204514-1/50x50
4,Январь,"Xcho, Ramil'",//avatars.yandex.net/get-music-content/8316823/4f7ddf74.a.24603253-1/50x50
5,Бат Эле Унутам,Jax (02.14),//avatars.yandex.net/get-music-content/5853241/b9529b12.a.24585969-1/50x50
6,Insomnia,Akha,//avatars.yandex.net/get-music-content/6386858/bffc7b15.a.24409919-1/50x50
7,Сени менен,Мирбек Атабеков,//avatars.yandex.net/get-music-content/7548376/01a66015.a.23888981-1/50x50
8,Calm Down,Rema,//avatars.yandex.net/get-music-content/3927581/fcd660e5.a.21171428-3/50x50
9,Расстояние,"Bakr, Ulukmanapo",//avatars.yandex.net/get-music-content/6201394/c7dd9e3c.a.22398715-1/50x50
10,Приятная,"Эндшпиль, Ollane",//avatars.yandex.net/get-music-content/5412783/d127ffb5.a.24153137-1/50x50
11,Кечки Бишкек,Мирбек Атабеков,//avatars.yandex.net/get-music-content/6300975/b65c1b7f.a.22915100-1/50x50
12,КАК MOMMY,INSTASAMKA,//avatars.yandex.net/get-music-content/5502420/686d2bf8.a.24375438-1/50x50
13,Sebelep,Jax (02.14),//avatars.yandex.net/get-music-content/6214856/b96e4523.a.22834085-1/50x50
14,Эталон красоты,Bakr,//avatars.yandex.net/get-music-content/6201394/5eed12a5.a.23204058-1/50x50
15,Очи,Bakr,//avatars.yandex.net/get-music-content/5234929/0587ba89.a.19563442-1/50x50
16,Монро,Slavik Pogosov,//avatars.yandex.net/get-music-content/6214856/89cf1290.a.23394439-1/50x50
17,НА РАХАТЕ,Ганвест,//avatars.yandex.net/get-music-content/5878680/6327564d.a.24022623-2/50x50
18,Ким билет,Jax (02.14),//avatars.yandex.net/get-music-content/6300975/cf33cea9.a.21546784-2/50x50
19,Лилия,"Jax (02.14), Crystal (02.14)",//avatars.yandex.net/get-music-content/5966316/5bc01766.a.22583615-1/50x50
20,Шоколад,Kenjebek Nurdolday,//avatars.yandex.net/get-music-content/5413882/279fddeb.a.23847813-1/50x50
21,Дом 50,"V $ X V PRiNCE, Кисло-Сладкий & Bonah",//avatars.yandex.net/get-music-content/6447985/7f01714b.a.23093583-1/50x50
22,Bloody Mary,Lady Gaga,//avatars.yandex.net/get-music-content/34131/cc20c177.a.220348-1/50x50
23,Летали,Ulukmanapo,//avatars.yandex.net/get-music-content/4382102/6547d765.a.18317597-1/50x50
24,Патрон,Miyagi & Andy Panda,//avatars.yandex.net/get-music-content/4489759/52dab5bc.a.14650027-1/50x50
